state_code,county_code,site_num,parameter_code,poc,latitude,longitude,datum,parameter_name,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method_name,local_site_name,address,state_name,county_name,city_name,cbsa_name,date_of_last_change
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,2/12/1990,Degrees Fahrenheit,None,24,100,23.25,43,0,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,3/12/1990,Degrees Fahrenheit,None,24,100,40.625,46,0,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,3/22/1990,Degrees Fahrenheit,None,24,100,15.5,24,0,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,4/10/1990,Degrees Fahrenheit,None,24,100,25.416667,31,0,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,4/26/1990,Degrees Fahrenheit,None,24,100,44.375,50,0,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,4/27/1990,Degrees Fahrenheit,None,24,100,26.458333,33,0,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,5/7/1990,Degrees Fahrenheit,None,23,96,53.782609,66,0,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,5/25/1990,Degrees Fahrenheit,None,20,83,56.05,60,0,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,6/2/1990,Degrees Fahrenheit,None,24,100,50.166667,57,0,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,7/3/1990,Degrees Fahrenheit,None,24,100,71.416667,76,0,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,10/16/1990,Degrees Fahrenheit,None,24,100,39.291667,43,0,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,11/1/1990,Degrees Fahrenheit,None,24,100,46.208333,52,0,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,11/2/1990,Degrees Fahrenheit,None,24,100,34.5,40,0,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,11/11/1990,Degrees Fahrenheit,None,24,100,30.791667,43,0,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,11/21/1990,Degrees Fahrenheit,None,24,100,31.666667,42,0,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,12/1/1990,Degrees Fahrenheit,None,24,100,16.416667,29,0,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,12/3/1990,Degrees Fahrenheit,None,24,100,11.208333,17,0,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,12/12/1990,Degrees Fahrenheit,None,24,100,25.875,35,0,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
